"label","year","growth"
"USA",2024,2.79300127716779
"CAN",2024,1.55479521049516
"FRA",2024,1.19046798275883
"GBR",2024,1.1264226705118
"ITA",2024,0.692676948440536
"JPN",2024,0.104309021773304
"DEU",2024,-0.495851897260366
