"category","before","after"
"Europe & Central Asia",13.2979350724868,17.7471743899219
"North America",12.2199232293426,17.6372500278852
"East Asia & Pacific",7.17073674545368,13.3144811454651
"Latin America & Caribbean",5.49414503543076,9.52870984020887
"South Asia",4.32308880201721,6.91257482137564
"Middle East, North Africa, Afghanistan & Pakistan",3.71094965413473,4.93612102294732
"Sub-Saharan Africa",2.99962087539673,3.15528155039185
